Nome: MAL. CANDIDO RONDON
Codigo Estacao: A820
Latitude: -24.53333333
Longitude: -54.01916666
Altitude: 392.07
Situacao: Operante
Data Inicial: 2019-01-01
Data Final: 2022-01-01
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA REDUZIDA NIVEL DO MAR, AUT(mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT)(mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT)(mB);RADIACAO GLOBAL(Kj/m²);TEMPERATURA DA CPU DA ESTACAO(°C);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C);TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT)(°C);TENSAO DA BATERIA DA ESTACAO(V);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);UMIDADE REL. MIN. NA HORA ANT. (AUT)(%);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA (gr)(° (gr));VENTO, RAJADA MAXIMA(m/s);VENTO, VELOCIDADE HORARIA(m/s);
2019-01-01;0000;0;964,1;null;964,1;963;-3,404;32;28;22;29,8;28;22,3;21,8;12,5;70;62;70;208;6,9;4,6;
2019-01-01;0100;0;964,8;1009,040847;964,8;964,1;-3,478;30;26,7;21,8;28;26,7;21,9;21,7;12,5;75;70;75;217;6,9;3,7;
2019-01-01;0200;0;965,1;1009,445342;965,2;964,8;-3,54;29;26,1;21,8;26,7;26,1;21,9;21,8;12,5;77;75;77;205;5,9;3,4;
2019-01-01;0300;0;964,7;1009,163714;965,2;964,7;-3,54;28;25,2;21,4;26,1;25,2;21,8;21,4;12,5;80;77;80;219;5,4;1,5;
2019-01-01;0400;0;964,2;1008,701687;964,7;964,2;-3,54;27;24,8;21,5;25,3;24,4;21,5;21,4;12,5;84;80;82;198;4,4;2,4;
2019-01-01;0500;0;964;1008,507734;964,3;964;-3,54;27;24,7;21,1;25;24,7;21,5;21,1;12,5;82;80;80;200;5,4;2,9;
2019-01-01;0600;0;964,4;1009,07962;964,4;964;-3,54;26;23,7;20,9;24,7;23,6;21,1;20,8;12,4;85;80;85;220;4,3;2,2;
2019-01-01;0700;0;964,3;1008,974987;964,4;964,3;-3,54;26;23,7;20,9;23,8;23,6;21;20,8;12,4;85;84;84;204;4,5;2,8;
2019-01-01;0800;0;965,6;1010,443372;965,6;964,2;-3,54;25;23;20,8;23,7;22,9;20,9;20,7;12,4;88;84;87;187;4;1,4;
2019-01-01;0900;0;966,7;1011,578956;966,7;965,6;-,941;25;23,1;20,8;23,3;22,9;20,9;20,7;12,3;88;86;87;171;3;1,5;
2019-01-01;1000;0;967,6;1012,304646;967,6;966,8;140,063;25;24,5;21,3;24,5;23;21,3;20,8;12,4;88;82;82;198;5,7;3,8;
